Data Source,World Development Indicators,Last Updated Date,2018-06-28,Unnamed: 4
10.128,9.84,9.568,9.31100000000001,
32.579,32.618,32.639,32.643,
40.301,39.805,39.315,38.828,
55.075,55.005,54.911,54.792,
65.532,64.895,64.259,63.624,
55.506,54.464,53.46,52.495,
36.1512283600242,35.8143816661647,35.4921240292307,35.1826706260355,
21.029,20.754,20.483,20.216,
27.576,27.316,27.06,26.808,
50.0680645208778,49.4691588015353,48.8825087422012,48.3068688760542,
42.971,42.896,42.796,42.671,
60.857,60.084,59.317,58.559,
4.723,4.593,4.471,4.35599999999999,
66.449,65.902,65.35,64.794,
39.8270365366184,39.4969419286915,39.17712095543,38.8653244334611,
36.168,35.974,35.777,35.576,
28.778,27.96,27.177,26.43,
10.728,10.763,10.791,10.813,
68.066,67.786,67.492,67.184,
40.745,40.141,39.554,38.983,
60.186,60.329,60.452,60.553,
83.898,83.728,83.546,83.352,
25.99,25.295,24.63,23.994,
18.5292234546439,18.3584580380412,18.1867156887325,18.0141609745594,
54.322,53.34,52.375,51.429,
30.337,29.79,29.262,28.754,
81.531,81.268,80.99,80.697,
53.058,52.224,51.403,50.597,
41.541,41.221,40.893,40.559,
10.09,9.504,8.968,8.476,
19.792,19.527,19.266,19.01,
81.757,81.385,81.005,80.617,
13.749,13.716,13.678,13.635,
19.9807794918736,19.7433625814846,19.5109539856114,19.2830857445367,
22.822,22.359,21.912,21.481,
41.9940818675347,41.5568323599239,41.1367194045481,40.7377248067944,
61.697,61.242,60.776,60.3,
33.708,33.408,33.105,32.8,
21.715,21.391,21.076,20.767,
55.512,55.627,55.711,55.765,
13.548,12.929,12.364,11.849,
87.015,86.995,86.961,86.915,
39.432,39.461,39.469,39.455,
61.9407690538617,61.4195410273777,60.8978023253499,60.3763910451649,
6.364,6.40000000000001,6.431,6.45699999999999,
39.285,39.125,38.952,38.765,
37.092,36.532,35.983,35.444,
40.584,40.334,40.076,39.81,
24.974,24.748,24.519,24.29,
62.4697242440087,62.2209655695,61.9693950625294,61.7146372886274,
19.2496347924978,19.0163823634533,18.7884091358105,18.5653985241118,
44.024,44.12,44.198,44.259,
0.840999999999994,0.756,0.683000000000007,0.619,
45.607,45.436,45.251,45.053,
26.076,25.992,25.899,25.797,
72.159,71.189,70.225,69.269,
67.3998954876468,66.9752783207061,66.5434819327137,66.1028197072775,
17.074,16.87,16.669,16.47,
66.377,66.194,65.993,65.773,
56.607,56.279,55.935,55.576,
78.124,77.671,77.221,76.774,
60.422,60.058,59.682,59.293,
33.745,33.274,32.811,32.357,
5.834,5.81,5.78400000000001,5.756,
60.922,60.449,59.97,59.483,
44.545,44.447,44.332,44.201,
62.7439019328517,62.2375718895385,61.7309468229384,61.2244429299631,
81.409,81.196,80.97,80.732,
62.7423805952027,62.2360743090763,61.7294857301087,61.2230189394324,
46.1681978472831,45.7634897681764,45.3694789101136,44.9894515372492,
35.489,34.908,34.353,33.826,
33.915,33.957,33.985,34.0,
46.243,46.402,46.532,46.632,
50.305,50.35,50.373,50.372,
14.335,14.185,14.036,13.888,
78.685,78.692,78.685,78.663,
46.441,46.113,45.786,45.459,
42.745,42.344,41.939,41.533,
8.15300000000001,7.81399999999999,7.498,7.205,
77.659,77.529,77.382,77.218,
48.1686490902389,47.1685545748895,46.1989763459555,45.2590798235414,
35.507396753352,35.3584963353975,35.2026157494851,35.0392403969698,
60.531,60.036,59.537,59.035,
50.826,49.626,48.46,47.329,
73.308,73.218,73.109,72.982,
50.312,49.963,49.604,49.234,
20.4598160722925,20.1867352764905,19.9203092679486,19.6600234116356,
67.869,67.23,66.599,65.978,
40.0058259193539,39.6766032239191,39.3578449003942,39.0473048441661,
